Número do Teste,Tempo(ms)
1,98248
2,98526
3,98556
4,98195
5,98470
6,98399
7,98419
8,98283
9,98376
10,98129
11,98093
12,98628
13,97916
14,98155
15,98351
16,98379
17,98528
18,98158
19,98534
20,97913
