Número do Teste,Tempo(ms)
1,54412
2,54546
3,54780
4,54601
5,54469
6,54620
7,54476
8,54452
9,54750
10,54208
11,54502
12,54441
13,54572
14,54761
15,54290
16,54639
17,54282
18,54764
19,54787
20,54375
