Número do Teste,Tempo(ms)
1,5999
2,5980
3,6004
4,6008
5,5979
6,6035
7,6011
8,6023
9,6007
10,6028
11,5998
12,6028
13,6087
14,6112
15,6127
16,6006
17,6074
18,6003
19,6056
20,6120
