Número do Teste,Tempo(ms)
1,156525
2,156713
3,156674
4,155590
5,155725
6,157401
7,155748
8,156622
9,155951
10,156584
11,156178
12,156604
13,156668
14,155779
15,156152
16,157163
17,157465
18,156138
19,156347
20,157060
