Número do Teste,Tempo(ms)
1,24126
2,24037
3,24066
4,24043
5,24365
6,24126
7,24342
8,24097
9,24049
10,24118
11,24430
12,24468
13,24225
14,24177
15,24075
16,24011
17,24259
18,24153
19,24370
20,24141
