Número do Teste,Tempo(ms)
1,303005
2,303818
3,303083
4,303049
5,302647
6,303364
7,303220
8,302406
9,303465
10,302958
11,302911
12,302870
13,302568
14,302924
15,302521
16,302812
17,302937
18,302328
19,302713
20,303005
