Número do Teste,Tempo(ms)
1,222284
2,223383
3,222053
4,222619
5,223058
6,222416
7,222224
8,221871
9,222955
10,222913
11,222254
12,222623
13,222976
14,222532
15,221921
16,222706
17,222986
18,222626
19,222012
20,222620
