Número do Teste,Tempo(ms)
1,662710
2,661966
3,539493
4,539981
5,539081
6,539159
7,539118
8,538965
9,538677
10,539538
11,539657
12,540303
13,539390
14,539141
15,538518
16,539442
17,539947
18,539355
19,540200
20,539239
