Número do Teste,Tempo(ms)
1,650009
2,648783
3,150157
4,150105
5,150046
6,149611
7,149858
8,149805
9,149860
10,150054
11,149600
12,149881
13,150216
14,149548
15,150171
16,150367
17,149896
18,150238
19,149908
20,149904
