Número do Teste,Tempo(ms)
1,2048237
2,2048940
3,1658064
4,1656873
5,1655086
6,1655465
7,1656100
8,1655743
9,1655637
10,1655087
11,1656427
12,1655841
13,1656219
14,1657801
15,1654693
16,1655699
17,1655621
18,1656063
19,1655090
20,1655753
