Número do Teste,Tempo(ms)
1,26971
2,27014
3,26942
4,27228
5,27123
6,26954
7,27053
8,26929
9,27140
10,27089
11,27006
12,26971
13,27013
14,27059
15,27059
16,26963
17,27038
18,27084
19,27138
20,27120
