Número do Teste,Tempo(ms)
1,13054
2,12897
3,2971
4,2994
5,2988
6,3027
7,2996
8,2983
9,2996
10,2984
11,2995
12,3024
13,2979
14,3037
15,3027
16,2973
17,3010
18,2991
19,3055
20,3002
