Número do Teste,Tempo(ms)
1,211385
2,211812
3,48577
4,48788
5,48962
6,48620
7,48771
8,48603
9,48992
10,48543
11,48706
12,48906
13,48806
14,48782
15,48467
16,48870
17,48404
18,48823
19,48670
20,48936
