Número do Teste,Tempo(ms)
1,472974
2,476167
3,109610
4,109637
5,109643
6,109625
7,109819
8,109606
9,109771
10,109618
11,109940
12,109463
13,109505
14,109623
15,109618
16,109415
17,109313
18,109509
19,109767
20,109726
