Número do Teste,Tempo(ms)
1,11966
2,11973
3,11968
4,11937
5,12020
6,12010
7,11944
8,12029
9,12008
10,11972
11,11987
12,12068
13,11972
14,11970
15,12040
16,11970
17,11969
18,11956
19,11966
20,11962
