Número do Teste,Tempo(ms)
1,330621
2,329900
3,76900
4,76551
5,76400
6,76568
7,76676
8,76675
9,76811
10,76934
11,76566
12,76650
13,76717
14,76858
15,76266
16,76222
17,76469
18,77087
19,76563
20,76773
