Número do Teste,Tempo(ms)
1,133734
2,134459
3,134394
4,134366
5,134082
6,134201
7,134379
8,134617
9,134302
10,134439
11,134486
12,134800
13,134473
14,134471
15,134692
16,134430
17,134292
18,134178
19,134402
20,134060
