Número do Teste,Tempo(ms)
1,1029877
2,1035562
3,858106
4,860076
5,860014
6,859877
7,858743
8,859693
9,860390
10,859051
11,859589
12,859838
13,859014
14,858371
15,858798
16,859571
17,858064
18,859444
19,860820
20,860061
