Número do Teste,Tempo(ms)
1,1504279
2,1501973
3,1227976
4,1228257
5,1226497
6,1227092
7,1228463
8,1227718
9,1226737
10,1225390
11,1228677
12,1228117
13,1227736
14,1227422
15,1226539
16,1226100
17,1227075
18,1228170
19,1226207
20,1225882
