Número do Teste,Tempo(ms)
1,302879
2,303308
3,302898
4,302678
5,303007
6,302762
7,303056
8,303256
9,302680
10,302546
11,302791
12,302967
13,302326
14,302889
15,303007
16,302951
17,302806
18,303210
19,303207
20,303027
